index	tweet_id	sentiment
1	#1339132522563657728	1
2	#1325967678104854528	1
3	#1354328550606683904	2
4	#1349617252056891136	1
5	#1294193014131183616	1
6	#1300911095780175872	1
7	#1259645953985753088	1
8	#1257876531612975104	2
9	#1329774825410277120	2
10	#1331419828989677568	1
11	#1304497606886747904	1
12	#1342266383816482816	1
13	#1303805274407436288	0
14	#1296798065626578944	1
15	#1356311767773753088	1
16	#1336663971735212032	0
17	#1261433380085747712	1
18	#1249393412677214208	1
19	#1273644378041581568	1
20	#1321834754245758720	2
21	#1300920000000000000	0
22	#1260221588538040320	1
23	#1353093496748584704	2
24	#1325912032818978816	1
25	#1355282653306609664	1
26	#1340556362191814912	1
27	#1346874439993085952	1
28	#1339539123435134720	1
29	#1257765080046993408	2
30	#1281688899190951936	0
31	#1243849549887619072	1
32	#1355177175973027840	2
33	#1322243392005414912	2
34	#1350504562197725184	0
35	#1337401049829830912	1
36	#1327364788947717888	0
37	#1327365438171467520	1
38	#1325778844373147648	2
39	#1292534170661658624	1
40	#1261402860106940416	1
41	#1258300887530864640	2
42	#1352713833714999296	2
43	#1353538072730853120	0
44	#1289561202578710528	1
45	#1338541492743282688	2
46	#1245610905124999168	1
47	#1312662432377196288	1
48	#1337359016767475712	1
49	#1347236941792763904	1
50	#1280054914392092672	1
51	#1279076807740993536	1
52	#1255934047588515840	1
53	#1323404361956024320	2
54	#1283356518574968832	2
55	#1354368688724430848	1
56	#1350972204482224128	1
57	#1269298214164979712	1
58	#1240392309637865472	2
59	#1343655401804410880	1
60	#1301893634921508864	1
61	#1326030300573540352	1
62	#1355245586509950720	0
63	#1352677730702290688	1
64	#1349127903250968320	2
65	#1325783530111111168	2
66	#1344099335450062848	0
67	#1336850749658173440	2
68	#1325956176773787648	1
69	#1328965029857783808	2
70	#1346424048926949120	1
71	#1316082547097567232	0
72	#1239185319074955264	1
73	#1325884132845514752	1
74	#1306496278919089920	0
75	#1344503214981439488	1
76	#1338553310760951808	1
77	#1330219883360038912	1
78	#1277186119830925312	1
79	#1347881300019929088	1
80	#1349390594867671040	1
81	#1350381264021327872	0
82	#1311037549318610688	0
83	#1285574527401947136	1
84	#1329841992281575424	2
85	#1241280000000000000	2
86	#1355531323121803264	0
87	#1334449802080366592	2
88	#1285296957397835520	2
89	#1337886756616671232	1
90	#1343784533942915072	1
91	#1253381608834547712	2
92	#1280554908656295936	1
93	#1298348598963220480	2
94	#1327376110821253120	1
95	#1304715990031380480	1
96	#1347200668382208000	1
97	#1262201237484830720	0
98	#1336901342040756224	2
99	#1252702568301633536	1
100	#1261337311230357504	1
101	#1283514247293603840	1
102	#1333403048757129216	1
103	#1328517515253833728	0
104	#1315419736868556800	2
105	#1344876630418722816	1
106	#1351516496678297600	1
107	#1349910000000000000	2
108	#1284843316174032896	1
109	#1271620000000000000	2
110	#1245483847216750336	2
111	#1329890271635628032	1
112	#1328331807977160704	0
113	#1314739879754989568	1
114	#1334320639453372416	0
115	#1338355788302053120	2
116	#1307924343138197504	0
117	#1263746360576261888	0
118	#1340785388504444928	1
119	#1254272914557407232	1
120	#1335826675976835072	0
121	#1328478476429631488	1
122	#1338350000000000000	0
123	#1308375713838501888	0
124	#1290747268325416704	0
125	#1319006213246509056	1
126	#1304113528270274304	0
127	#1345490642215047168	0
128	#1286751033897648128	1
129	#1349500000000000000	2
130	#1349629402070577152	1
131	#1351192689962840064	1
132	#1336100142215290880	0
133	#1283961290734612480	2
134	#1245910764411482112	1
135	#1336527434523566080	1
136	#1331713189499825920	1
137	#1347191457904553984	2
138	#1314739456625176320	0
139	#1262809339045089280	2
140	#1334832046066126848	1
141	#1290140214669737984	1
142	#1345382632046133248	2
143	#1354285003555958784	1
144	#1353732228258410496	1
145	#1315274206276472832	1
146	#1317876515728707584	2
147	#1351259084541063168	1
148	#1336153002839826432	0
149	#1343588665306603520	2
150	#1324081206644871168	1
151	#1252662881906294784	1
152	#1324441045283852288	1
153	#1324636220522139648	1
154	#1255865438006849536	1
155	#1337560626009411584	1
156	#1356378580020830208	1
157	#1340059664126365696	1
158	#1285213780822106112	2
159	#1265485783252766720	1
160	#1354892430231932928	2
161	#1343180378249568512	1
162	#1261273839100706816	1
163	#1341125464233037824	2
164	#1334491756709208064	0
165	#1336618421035864064	1
166	#1240294335100289024	0
167	#1341250000000000000	0
168	#1342804039537451008	0
169	#1336539240520364032	1
170	#1271983575018110720	2
171	#1270172126885134336	1
172	#1285211417524797440	2
173	#1272171919106810112	2
174	#1339225312543059968	2
175	#1352263143574155264	1
176	#1344448300305494016	1
177	#1285263756449243136	2
178	#1326154446364176384	1
179	#1352448383798173696	1
180	#1309109290939056128	2
181	#1356359576355041280	0
182	#1266324969652236288	2
183	#1319624683566723072	0
184	#1338915086103175168	2
185	#1310135392155455488	2
186	#1348551762991570688	1
187	#1296636060319932416	0
188	#1339938334077050880	1
189	#1338512863514734336	1
190	#1344385186054561536	1
191	#1331166705440215040	1
192	#1306991059533266944	1
193	#1301018735264890880	1
194	#1297206991375355904	1
195	#1326054676496871424	1
196	#1351663788097904640	0
197	#1262062249969098752	1
198	#1270640214386540288	1
199	#1327445278446792704	2
200	#1323248900543827968	2
201	#1316292945029591040	1
202	#1334295236558737408	1
203	#1313516921296433152	1
204	#1340196056991199232	2
205	#1336376690805764096	2
206	#1305240000000000000	0
207	#1299544489866883072	2
208	#1273142192496955136	1
209	#1317055441805938688	1
210	#1285267052727394304	1
211	#1337245245692542720	1
212	#1337595950194364416	2
213	#1299974763088150528	1
214	#1277749692076613632	2
215	#1334673287675252736	1
216	#1257172510703079424	2
217	#1327575639629594624	1
218	#1268690128702242816	1
219	#1343562089705725952	0
220	#1314462179064676352	1
221	#1236523580692848640	1
222	#1344593118134460416	1
223	#1284154650355068928	2
224	#1330180737824411648	1
225	#1300254248677125888	1
226	#1348013367722708736	1
227	#1291006067476959232	1
228	#1344605283251838720	1
229	#1347840763548241920	1
230	#1335775459712315136	1
231	#1328612191214465024	1
232	#1262328370290884608	1
233	#1306360974451126272	1
234	#1293171510748876800	0
235	#1304699798264721408	0
236	#1288350370520084480	0
237	#1298250800167129088	2
238	#1301794787423592448	2
239	#1353636703303577600	1
240	#1321095768963489792	1
241	#1319448184758935552	1
242	#1329744294068928512	1
243	#1353704080225390336	1
244	#1325819061113118720	2
245	#1344833874342289408	2
246	#1334045739782201088	1
247	#1301432035588935680	1
248	#1352070004859162624	1
249	#1268916738042839040	1
250	#1328337086844440320	2
251	#1341991018707771136	1
252	#1350516609958490112	1
253	#1298591617796907008	1
254	#1353167640705986304	1
255	#1349675887114006528	1
256	#1350286803354337280	1
257	#1262223824419983104	1
258	#1329990000000000000	2
259	#1330906320841691136	2
260	#1320186915967172608	1
261	#1344294816314765312	1
262	#1246882198688542720	1
263	#1337586336769986304	1
264	#1283208785734053888	1
265	#1343624558780313600	2
266	#1295427046961819648	0
267	#1335710992878080000	1
268	#1250319097067266048	2
269	#1327261714606415872	2
270	#1347522219291926528	1
271	#1339660666572058624	1
272	#1341738006340902912	1
273	#1326418909944221696	1
274	#1266639353117319168	1
275	#1292445528362553088	1
276	#1355542887753261056	0
277	#1275016641760448512	1
278	#1337105545463992320	0
279	#1355120000000000000	2
280	#1355079968317976320	1
281	#1336726448565080064	0
282	#1336329807785652224	1
283	#1283825809912934400	1
284	#1325987431057911808	0
285	#1264099378542915584	2
286	#1343943743645253632	1
287	#1293757604456329216	1
288	#1334463173248901120	0
289	#1290392512948035584	1
290	#1336539253371756288	1
291	#1355950432485568512	0
292	#1339186249970536448	1
293	#1334048201721179904	1
294	#1336273480615006208	1
295	#1325772696714620928	2
296	#1326034406423846912	2
297	#1264146355032915968	2
298	#1352826694139211520	0
299	#1330796952993230848	1
300	#1348158836222402304	1
301	#1340096963505754112	1
302	#1257315166363909888	1
303	#1355151975399088128	2
304	#1234657408460480512	1
305	#1339594721761456128	2
306	#1356244071358980096	1
307	#1252960899616342016	1
308	#1248711649416134912	1
309	#1321166027942670336	1
310	#1297800648449302528	1
311	#1346838442076942336	1
312	#1326608716607738112	2
313	#1349486407232974848	1
314	#1310084022668795904	2
315	#1331529191771172864	2
316	#1266820000000000000	2
317	#1331408916278816768	1
318	#1264159088566513664	0
319	#1331016409523032064	1
320	#1278826175788392448	1
321	#1310140659249143808	2
322	#1304989923150266368	1
323	#1318991163303538688	1
324	#1354595814216142848	1
325	#1354781977392549888	1
326	#1334247406725025792	1
327	#1316007279943127040	0
328	#1310185394634461184	1
329	#1239342810974892032	1
330	#1262461703779803136	2
331	#1353042007225208832	0
332	#1337462118795370496	1
333	#1291528553834647552	0
334	#1272894334141189888	1
335	#1340126979857797120	1
336	#1334222614370390016	1
337	#1304391082126594048	2
338	#1278522920210329600	1
339	#1301180880463879936	1
340	#1239476500182847488	1
341	#1289259208638992384	1
342	#1261916414199226368	1
343	#1333564926745604096	0
344	#1285219679125086208	2
345	#1257571147970949120	1
346	#1338123014777483264	1
347	#1321602098224603136	1
348	#1298394747892043520	1
349	#1295403655265308672	1
350	#1309554274926391296	1
351	#1346285436382179328	1
352	#1325831210770329600	2
353	#1326625061692792832	1
354	#1279944235500761088	2
355	#1262517550753201920	1
356	#1327039283631419136	1
357	#1283314101641510912	1
358	#1339188550219264000	1
359	#1341368619616194304	1
360	#1347432887470141440	1
361	#1344899894130180096	1
362	#1335655138590150912	1
363	#1285248397419700224	2
364	#1314407185527517184	1
365	#1259282480005181440	1
366	#1344580424987783168	2
367	#1337358985578557440	1
368	#1287359668659126272	2
369	#1337727389716115712	2
370	#1257711313171689472	1
371	#1261300593022427136	2
372	#1325782030223888384	2
373	#1335152389700145152	1
374	#1321750672421900288	1
375	#1329771690566553600	1
376	#1353136445356089088	2
377	#1275514348987985920	1
378	#1280719001447010304	1
379	#1344530438270935040	1
380	#1335602085690302464	1
381	#1328685984557489920	1
382	#1351450197495328768	0
383	#1254688627424137216	2
384	#1235695160501116928	1
385	#1333064181570957312	0
386	#1328391768618934272	2
387	#1329782175567278080	0
388	#1297874095594340352	1
389	#1266196395469529088	1
390	#1309347767320338432	1
391	#1285611891239391232	1
392	#1336319428917485568	1
393	#1310798173116542720	1
394	#1345300307790630912	0
395	#1323162717558132736	2
396	#1351214014299303936	1
397	#1341493229330386688	1
398	#1308586912513429504	1
399	#1293143723824553984	1
400	#1285214400975122432	2
401	#1349436315943755520	1
402	#1274054838163312640	1
403	#1348047571512659968	1
404	#1303667315867873280	0
405	#1325770132275261440	2
406	#1349168945677275136	1
407	#1344046681902473216	2
408	#1281686105298022400	1
409	#1291934667655073536	0
410	#1312048827415908352	1
411	#1330637919107899136	1
412	#1353831090847444992	0
413	#1258603799326781440	1
414	#1331552208836505600	0
415	#1337764024793096192	0
416	#1301407345709330432	1
417	#1303489960801001472	1
418	#1347195250721259520	1
419	#1316401343960100864	1
420	#1329872328436625408	1
421	#1285216325288288512	2
422	#1345136908234587904	1
423	#1356624067407863808	2
424	#1258088875450339328	2
425	#1354792912865931264	2
426	#1334199865312735232	2
427	#1344290216257974272	1
428	#1262740866831020032	2
429	#1262391582491279104	2
430	#1355532493911326720	2
431	#1336161837256220672	1
432	#1341141181892313088	2
433	#1305866706573811712	1
434	#1347518906454446080	1
435	#1344375054226903040	2
436	#1313675234554380288	0
437	#1356613303926161408	2
438	#1349090974430068736	2
439	#1332604403149402112	1
440	#1271217603223183104	1
441	#1328818301477281536	0
442	#1334130044722147328	1
443	#1344280000000000000	2
444	#1330901725067300864	1
445	#1312910490138537984	1
446	#1298232481108430848	0
447	#1280323587845623808	1
448	#1339496179315437568	1
449	#1328342492039798784	2
450	#1259151906766753792	0
451	#1240340988108955648	1
452	#1296483126294847488	1
453	#1328362821663518720	2
454	#1340099006009987072	1
455	#1339001396998402048	1
456	#1289525637527396352	1
457	#1354054384603295488	1
458	#1343736983500292096	1
459	#1300610123296104448	0
460	#1349274479583703040	1
461	#1340839448687349504	1
462	#1353395900631166720	1
463	#1353621588525019136	2
464	#1303618770662027264	1
465	#1317948755145072640	1
466	#1342120784823808000	0
467	#1337043420217425920	1
468	#1235943853816811520	1
469	#1285910354023845888	1
470	#1352280392443650048	0
471	#1349402537473007616	2
472	#1346136493396553728	2
473	#1305548172878655488	2
474	#1275677977603383296	0
475	#1347300099098075136	0
476	#1308970000000000000	2
477	#1292756333796573184	1
478	#1284520886368755712	1
479	#1286362176257695488	1
480	#1289187848738938880	1
481	#1340385013032992768	1
482	#1334066362042421248	2
483	#1340105774022848512	1
484	#1291583618502897664	1
485	#1337028843186642944	0
486	#1356021578505531136	1
487	#1352642396354473984	2
488	#1339231521761357824	1
489	#1295556078890037248	1
490	#1306616252115288064	1
491	#1354721127864688640	1
492	#1349276246778245120	2
493	#1346880808410259712	1
494	#1347345040239165440	1
495	#1350045990091419648	1
496	#1347942614352474112	2
497	#1332277261509259264	0
498	#1356003259677351936	1
499	#1334561660732928000	1
500	#1340580304252231680	1
501	#1285261925845090304	1
502	#1344863916036419584	1
503	#1278197034449682432	0
504	#1348166337005293568	1
505	#1333419521265324032	1
506	#1244984414255415296	1
507	#1288798202318249984	2
508	#1356578440644681728	0
509	#1339437100068814848	1
510	#1328341316749709312	2
511	#1341247204959395840	2
512	#1343543369855868928	1
513	#1259356553104277504	1
514	#1340647765723017216	1
515	#1334054711570407424	1
516	#1297555558048968704	1
517	#1345614778463444736	2
518	#1299204883959164928	1
519	#1275853012733485056	1
520	#1277617786840367104	1
521	#1289573368841162752	1
522	#1298297606645460992	0
523	#1338777174342569984	1
524	#1291113146053165056	0
525	#1356236248818606080	2
526	#1340601326061936640	0
527	#1335985168708866048	2
528	#1337544555785285632	1
529	#1333545095757516800	1
530	#1265243022628921088	1
531	#1352039407164018688	1
532	#1286296352926904320	1
533	#1293363730936475648	1
534	#1293158403146231808	1
535	#1253501021772378112	1
536	#1326606704218398720	1
537	#1335907281272270848	1
538	#1268362784196214784	1
539	#1283962517354577920	1
540	#1348872462348374016	1
541	#1296198348429562112	1
542	#1295776369712890112	1
543	#1338240000000000000	2
544	#1283804174996709120	1
545	#1261600679807852288	1
546	#1338870877195276288	2
547	#1346808795801014272	1
548	#1285365419075866624	1
